FINTRANSCATEGORYID,DESCRIPTION,WOODWARDTYPE,WOODWARDTYPEGROUP
289,IPT Canada Quebec,Tax,Tax
334,IPT Cayman Islands,Tax,Tax
291,IPT Chile,Tax,Tax
292,IPT China,Tax,Tax
293,IPT Colombia,Tax,Tax
294,IPT Costa Rica,Tax,Tax
319,IPT Croatia,Tax,Tax
295,IPT Cyprus,Tax,Tax
297,IPT Denmark,Tax,Tax
298,IPT Dominica,Tax,Tax
299,IPT Dominican Republic,Tax,Tax
301,IPT Ecuador,Tax,Tax
375,IPT El Salvador,Tax,Tax
305,IPT Fiji,Tax,Tax
304,IPT Finland,Tax,Tax
306,IPT France,Tax,Tax
362,IPT French Polynesia,Tax,Tax
296,IPT Germany,Tax,Tax
315,IPT Greece,Tax,Tax
309,IPT Grenada,Tax,Tax
312,IPT Guadeloupe,Tax,Tax
317,IPT Guam,Tax,Tax
316,IPT Guatemala,Tax,Tax
310,IPT Guernsey,Tax,Tax
311,IPT Guinea,Tax,Tax
318,IPT Guyana,Tax,Tax
320,IPT Haiti,Tax,Tax
321,IPT Hungary,Tax,Tax
322,IPT Hungary Stamp Duty,Tax,Tax
326,IPT India,Tax,Tax
323,IPT Indonesia,Tax,Tax
324,IPT Ireland,Tax,Tax
325,IPT Israel,Tax,Tax
327,IPT Italy,Tax,Tax
330,IPT Jamaica,Tax,Tax
335,IPT Kazakhstan,Tax,Tax
332,IPT Korea,Tax,Tax
333,IPT Kuwait,Tax,Tax
340,IPT Latvia,Tax,Tax
336,IPT Lebanon,Tax,Tax
338,IPT Liechtenstein,Tax,Tax
339,IPT Luxembourg,Tax,Tax
345,IPT Macao,Tax,Tax
350,IPT Malaysia,Tax,Tax
348,IPT Malta,Tax,Tax
347,IPT Mauritania,Tax,Tax
349,IPT Mexico,Tax,Tax
342,IPT Monaco,Tax,Tax
344,IPT Mongolia,Tax,Tax
341,IPT Morocco,Tax,Tax
351,IPT Namibia,Tax,Tax
356,IPT Netherlands,Tax,Tax
352,IPT New Caledonia,Tax,Tax
358,IPT New Zealand,Tax,Tax
353,IPT Niger,Tax,Tax
354,IPT Nigeria,Tax,Tax
357,IPT Norway,Tax,Tax
359,IPT Panama,Tax,Tax
363,IPT Papua New Guinea,Tax,Tax
361,IPT Peru,Tax,Tax
365,IPT Portugal,Tax,Tax
366,IPT Portugal Parafiscal,Tax,Tax
364,IPT Puerto Rico,Tax,Tax
367,IPT Romania,Tax,Tax
369,IPT Russian Federation,Tax,Tax
337,IPT Saint Lucia,Tax,Tax
343,IPT Saint Martin (French part),Tax,Tax
387,IPT Saint Vincent and the Gre,Tax,Tax
346,IPT Saipan,Tax,Tax
395,IPT Samoa,Tax,Tax
370,IPT Saudi Arabia,Tax,Tax
368,IPT Serbia,Tax,Tax
371,IPT Seychelles,Tax,Tax
372,IPT Singapore,Tax,Tax
374,IPT Slovakia,Tax,Tax
373,IPT Slovenia,Tax,Tax
397,IPT South Africa Income Tax,Tax,Tax
302,IPT Spain,Tax,Tax
290,IPT Switzerland,Tax,Tax
382,IPT Taiwan,Tax,Tax
376,IPT Thailand,Tax,Tax
377,IPT Tokelau,Tax,Tax
381,IPT Trinidad and Tobago,Tax,Tax
379,IPT Tunisia,Tax,Tax
380,IPT Turkey,Tax,Tax
378,IPT Turkmenistan,Tax,Tax
308,IPT UK,Tax,Tax
383,IPT Ukraine,Tax,Tax
269,IPT United Arab Emirates,Tax,Tax
384,IPT United States,Tax,Tax
386,IPT Uruguay,Tax,Tax
388,IPT Venezuela,Tax,Tax
394,IPT Vietnam,Tax,Tax
392,IPT Virgin Islands,Tax,Tax
393,IPT Virgin Islands,Tax,Tax
396,IPT Xchanging (*UNKNOWN*),Tax,Tax
265,Irish Levy,Other Deductions,Deduction
328,Italian Solidarity Fund - 1%,Other Taxes,Tax
329,Italy Pt & Pc - 22.25%,Other Taxes,Tax
55,Journal entry (Broker - Client),Other,Other
53,Journal entry (Broker - Underwriter),Other,Other
262,Lead Office Survey Fees,Other Deductions,Deduction
208,Local tax payable on gross premium,Other Taxes,Tax
223,Loss Portfolio In,Claims,Claims
224,Loss Portfolio Out,Claims,Claims
249,Loss Portfolio Transfer In,Claims,Claims
250,Loss Portfolio Transfer Out,Claims,Claims
211,Loss Reserve Interest,Claims,Claims
222,Loss Reserve Retained,Claims,Claims
261,Management Expenses,Other Deductions,Deduction
204,Management Handling Fee,Other Deductions,Deduction
225,New Deduction,Other Deductions,Deduction
195,Opening Balance,Other Deductions,Deduction
205,Other Deduction,Other Deductions,Deduction
171,Other Deductions,Other Deductions,Deduction
264,Other Fees,Other Deductions,Deduction
167,Overriding Commission,Other Deductions,Deduction
206,Overriding commission,Other Deductions,Deduction
236,Package Credit,Other Deductions,Deduction
173,Paid Claims,Claims,Claims
175,Paid Refunds,Claims,Claims
360,Peruvian Withholding Tax,Other Deductions,Deduction
207,Placing Service Agreement,Other Deductions,Deduction
216,PRC,Other,Other
159,Premium,Premium,Premium
214,Premium,Premium,Premium
157,Premium,Premium,Premium
59,Premium,Premium,Premium
220,Premium Portfolio In,Premium,Premium
221,Premium Portfolio Out,Premium,Premium
248,Premium Portfolio Transfer In,Premium,Premium
247,Premium Portfolio Transfer Out,Premium,Premium
163,Premium Reserve Interest,Premium,Premium
218,Premium Reserve Interest,Premium,Premium
161,Premium Reserve Retained,Premium,Premium
219,Premium Reserve Retained,Premium,Premium
169,Premium Taxes,Other Taxes,Tax
233,Profit Commission,Profit Commission,Deduction
256,Profit Commission,Profit Commission,Deduction
215,Profit Commission,Profit Commission,Deduction
257,Reinsurance Commission,Commission,Deduction
165,Reinsurance Costs,Other Deductions,Deduction
258,Reinsurance Overriding Commission,Commission,Deduction
259,Reinsurance Profit Commission,Commission,Deduction
240,Renewal Incentive Bonus,Other Deductions,Deduction
232,RTT - Return Tax,Other Taxes,Tax
303,Spanish Tax Both - 6.3%,Other Taxes,Tax
209,Subscription Market Brokerage,Other Deductions,Deduction
210,Survey Fee,Other Deductions,Deduction
252,Test Ded - MS,Other Deductions,Deduction
251,Test Ded - MS,Other Deductions,Deduction
43,To Pay Fees,Claims,Fees
47,To Pay Indem,Claims,Indemnity
41,To Pay Indem,Claims,Indemnity
203,United Kingdom Insurance Premium Tax,Tax,Tax
238,Up-Front Performance Continuity Credit,Other,Other
307,Value Added Tax,Other Taxes,Tax
246,Value Added Tax (VAT),Other Taxes,Tax
389,Venezuala Mun&Super ,Other Taxes,Tax
390,Venezuala Municipal Tax ,Other Taxes,Tax
391,Venezuala Superintend Tax ,Other Taxes,Tax
230,Write Off,Other,Other
229,Write-Off,Other,Other
212,XL Premium of Joint Account,Deduction,Deduction
-1,Premium,Premium,Premium
-2,Indemnity,Claim,Indemnity
-3,Fee,Claim,Fee
